adsorption_energy,adsorbed_molecule,adsorbed_molecule_encoded
-22.642008,CH4,2
-12.974406,CH4,2
-17.921522,CH4,2
-14.525439,CH4,2
-23.029854,CH4,2
-15.7622,CH4,2
-15.596544,CH4,2
-22.154484,CH4,2
-18.634718,CH4,2
-18.450026,CH4,2
-16.370486,CH4,2
-15.328859,CH4,2
-18.34137,CH4,2
-17.381165,CH4,2
-16.04239,CH4,2
-18.577893,CH4,2
-19.825191,CH4,2
-20.741255,CH4,2
-14.067232,CH4,2
-17.256429,CH4,2
-16.769773,CH4,2
-17.13286,CH4,2
-15.203046,CH4,2
-24.067768,CH4,2
-15.58544,CH4,2
-18.895446,CH4,2
-17.742686,CH4,2
-17.839589,CH4,2
-15.492349,CH4,2
-20.615647,CH4,2
-13.792418,CH4,2
-21.592759,CH4,2
-14.866908,CH4,2
-17.567342,CH4,2
-15.892149,CH4,2
-22.570452,CH4,2
-15.094369,CH4,2
-17.114516,CH4,2
-20.551701,CH4,2
-19.402699,CH4,2
-16.992938,CH4,2
-16.838544,CH4,2
-20.324937,CH4,2
-15.704816,CH4,2
-9.956853999,CH4,2
-20.597875,CH4,2
-17.49924,CH4,2
-11.162681,CH4,2
-19.902287,CH4,2
-16.372319,CH4,2
-21.294412,CH4,2
-16.537083,CH4,2
-19.204067,CH4,2
-14.7815,CH4,2
-17.11556,CH4,2
-18.522904,CH4,2
-21.731855,CH4,2
-15.071562,CH4,2
-20.364697,CH4,2
-18.180102,CH4,2
-15.357764,CH4,2
-16.285213,CH4,2
-22.827516,CH4,2
-19.790319,CH4,2
-15.375229,CH4,2
-18.104156,CH4,2
-23.316762,CH4,2
-17.250052,CH4,2
-17.273761,CH4,2
-19.742437,CH4,2
-24.407081,CH4,2
-19.667105,CH4,2
-21.054538,CH4,2
-18.155327,CH4,2
-16.250487,CH4,2
-17.063517,CH4,2
-15.341005,CH4,2
-22.807962,CH4,2
-24.154151,CH4,2
-25.404175,CH4,2
-18.860696,CH4,2
-14.029444,CH4,2
-21.378841,CH4,2
-19.602174,CH4,2
-24.153055,CH4,2
-21.594556,CH4,2
-21.582776,CH4,2
-14.685936,CH4,2
-12.526187,CH4,2
-23.298402,CH4,2
-13.457711,CH4,2
-19.950573,CH4,2
-25.083335,CH4,2
-23.320982,CH4,2
-17.371536,CH4,2
-17.216965,CH4,2
-16.067507,CH4,2
-16.295364,CH4,2
-24.584165,CH4,2
-17.357622,CH4,2
-17.921956,CH4,2
-17.997276,CH4,2
-18.424955,CH4,2
-23.793942,CH4,2
-15.983833,CH4,2
-16.4256,CH4,2
-16.177519,CH4,2
-23.282714,CH4,2
-23.541771,CH4,2
-17.752575,CH4,2
-18.833115,CH4,2
-18.744255,CH4,2
-16.888579,CH4,2
-16.873718,CH4,2
-18.471247,CH4,2
-25.575049,CH4,2
-20.103381,CH4,2
-25.983439,CH4,2
-21.410213,CH4,2
-21.598307,CH4,2
-19.770923,CH4,2
-14.357919,CH4,2
-20.573396,CH4,2
-16.906676,CH4,2
-21.974515,CH4,2
-20.125491,CH4,2
-13.255614,CH4,2
-21.472451,CH4,2
-19.901232,CH4,2
-14.336507,CH4,2
-20.094768,CH4,2
-16.553191,CH4,2
-18.727232,CH4,2
-19.525223,CH4,2
-17.232115,CH4,2
-17.81213,CH4,2
-17.648707,CH4,2
-19.804781,CH4,2
-17.999675,CH4,2
-18.936427,CH4,2
-20.437247,CH4,2
-22.715843,CH4,2
-22.981379,CH4,2
-14.775952,CH4,2
-15.007959,CH4,2
-17.943965,CH4,2
-16.54996,CH4,2
-15.283958,CH4,2
-23.17838,CH4,2
-17.035472,CH4,2
-19.21575,CH4,2
-19.166998,CH4,2
-14.879769,CH4,2
-14.303694,CH4,2
-14.520408,CH4,2
-13.338696,CH4,2
-18.029457,CH4,2
-16.995755,CH4,2
-16.068966,CH4,2
-21.240175,CH4,2
-20.276885,CH4,2
-18.595684,CH4,2
-16.801955,CH4,2
-17.167195,CH4,2
-16.794545,CH4,2
-18.51414,CH4,2
-18.57794,CH4,2
-14.490251,CH4,2
-21.265789,CH4,2
-19.287582,CH4,2
-20.727378,CH4,2
-15.420763,CH4,2
-17.774431,CH4,2
-18.093556,CH4,2
-19.442069,CH4,2
-17.888318,CH4,2
-15.380909,CH4,2
-18.492193,CH4,2
-23.131995,CH4,2
-21.39373,CH4,2
-23.262096,CH4,2
-22.394122,CH4,2
-15.872086,CH4,2
-21.446898,CH4,2
-18.588288,CH4,2
-19.095982,CH4,2
-18.59013,CH4,2
-19.821249,CH4,2
-21.952069,CH4,2
-19.879026,CH4,2
-20.948798,CH4,2
-18.844033,CH4,2
-17.782588,CH4,2
-15.550867,CH4,2
-17.368105,CH4,2
-21.832214,CH4,2
-19.86811,CH4,2
-18.668666,CH4,2
-17.414603,CH4,2
-22.405586,CH4,2
-17.111698,CH4,2
-16.191282,CH4,2
-16.40993,CH4,2
-18.798398,CH4,2
-19.98219,CH4,2
-21.536026,CH4,2
-20.358568,CH4,2
-23.324547,CH4,2
-15.346407,CH4,2
-15.056407,CH4,2
-21.925209,CH4,2
-14.571374,CH4,2
-23.05495,CH4,2
-21.321187,CH4,2
-15.968799,CH4,2
-16.522321,CH4,2
-18.630639,CH4,2
-15.95616,CH4,2
-23.822172,CH4,2
-16.96261,CH4,2
